epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
132,7819.21,0.91305,0.81283,1.16081,0.64862,0.4512,0.4734,0.33483,1.71816,2.02051,2.03635,0.001354,0.001354,0.001354
133,7877.65,0.9085,0.79816,1.15391,0.6486,0.45177,0.47349,0.33492,1.71814,2.02122,2.03661,0.001288,0.001288,0.001288
134,7936.01,0.90838,0.79321,1.15481,0.64904,0.45184,0.4738,0.33542,1.71809,2.02161,2.03746,0.001222,0.001222,0.001222
135,7994.39,0.90164,0.79159,1.15442,0.64957,0.45173,0.47401,0.33522,1.71831,2.0213,2.03809,0.001156,0.001156,0.001156
136,8053.29,0.91418,0.79989,1.15728,0.65096,0.45157,0.47399,0.33511,1.7186,2.02163,2.03892,0.00109,0.00109,0.00109
137,8111.95,0.90616,0.78915,1.15406,0.65065,0.45179,0.47433,0.3355,1.71817,2.02179,2.03904,0.001024,0.001024,0.001024
138,8170.45,0.90382,0.7858,1.15369,0.65144,0.45258,0.47404,0.33535,1.71829,2.02071,2.03962,0.000958,0.000958,0.000958
139,8229.09,0.89723,0.78752,1.14892,0.65402,0.44992,0.47428,0.33548,1.71866,2.02036,2.03955,0.000892,0.000892,0.000892
140,8287.52,0.89799,0.78563,1.14738,0.65541,0.44969,0.4742,0.3357,1.71844,2.02024,2.04003,0.000826,0.000826,0.000826
141,8355.35,0.82473,0.67388,1.11554,0.6548,0.44945,0.47415,0.33551,1.71849,2.01975,2.04082,0.00076,0.00076,0.00076
142,8413.47,0.80656,0.66031,1.10788,0.65482,0.44945,0.47415,0.33567,1.71895,2.01971,2.04169,0.000694,0.000694,0.000694
143,8471.32,0.79859,0.65025,1.10143,0.65433,0.44933,0.47427,0.33583,1.71912,2.01962,2.04278,0.000628,0.000628,0.000628
144,8529.52,0.78714,0.64018,1.09524,0.65549,0.44969,0.47434,0.3358,1.71928,2.01966,2.04305,0.000562,0.000562,0.000562
145,8587.53,0.78693,0.63634,1.09236,0.65559,0.44934,0.47471,0.33583,1.71978,2.02034,2.044,0.000496,0.000496,0.000496
146,8645.27,0.77886,0.63145,1.08831,0.65736,0.4481,0.47445,0.33564,1.72004,2.02019,2.04492,0.00043,0.00043,0.00043
147,8703.06,0.77805,0.62775,1.0881,0.65568,0.44973,0.47458,0.3359,1.72035,2.02028,2.0458,0.000364,0.000364,0.000364
148,8761.16,0.77303,0.62359,1.08625,0.65304,0.45208,0.47478,0.33579,1.72039,2.02111,2.04623,0.000298,0.000298,0.000298
149,8819.06,0.7682,0.61804,1.08648,0.65301,0.45182,0.47455,0.33578,1.72086,2.02048,2.04777,0.000232,0.000232,0.000232
150,8877.45,0.76389,0.61675,1.08329,0.65445,0.45233,0.4748,0.33582,1.72118,2.02002,2.04882,0.000166,0.000166,0.000166
